id,request_time,bus_income,left_db_border,right_db_border,timeout
201,"2020-02-16 02:39:28.573788",,,,400
202,"2020-02-16 02:46:16.926021",,,,430
203,"2020-02-16 02:53:34.769602",,,,460
204,"2020-02-16 03:01:22.936627",,,,490
205,"2020-02-16 03:09:40.900099",,,,520
206,"2020-02-16 03:18:29.556310",,,,550
207,"2020-02-16 03:27:48.407110",,,,580
208,"2020-02-16 03:37:37.162669",,,,610
209,"2020-02-16 03:47:55.576958",,,,640
210,"2020-02-16 03:58:43.878762",,,,670
211,"2020-02-16 04:10:03.858658",,,,700
212,"2020-02-16 04:21:53.138522",,,,730
213,"2020-02-16 04:34:12.043243",,,,760
214,"2020-02-16 04:47:01.497480",,,,790
215,"2020-02-16 05:00:20.462231",,,,820
216,"2020-02-16 05:14:10.291982",,,,850
217,"2020-02-16 05:28:29.245724",,,,880
218,"2020-02-16 05:43:18.764874",,,,910
219,"2020-02-16 05:58:38.949799",06:20:14,06:10:00,06:30:00,648
220,"2020-02-16 06:09:38.466393",06:20:15,06:10:00,06:30:00,318
221,"2020-02-16 06:15:07.155791",06:20:41,06:10:00,06:30:00,167
222,"2020-02-16 06:18:05.739037",06:20:49,06:10:00,06:30:00,82
223,"2020-02-16 06:19:38.624086",06:20:54,06:10:00,06:30:00,38
224,"2020-02-16 06:20:26.755558",06:20:54,06:10:00,06:30:00,14
225,"2020-02-16 06:20:49.615724",06:21:50,06:10:00,06:30:00,30
226,"2020-02-16 06:21:28.312642",06:21:31,06:10:00,06:30:00,10
227,"2020-02-16 06:21:50.895015",06:21:30,06:10:00,06:30:00,10
228,"2020-02-16 06:22:08.883656",06:47:40,06:30:00,06:50:00,766
229,"2020-02-16 06:35:04.864780",06:47:09,06:30:00,06:50:00,362
230,"2020-02-16 06:41:20.488994",06:48:39,06:30:00,06:50:00,219
231,"2020-02-16 06:45:07.812465",06:47:42,06:30:00,06:50:00,77
232,"2020-02-16 06:46:36.566343",06:47:43,06:30:00,06:50:00,33
233,"2020-02-16 06:47:20.030074",06:47:43,06:30:00,06:50:00,11
234,"2020-02-16 06:47:42.707913",06:47:44,06:30:00,06:50:00,10
235,"2020-02-16 06:48:00.513900",06:47:43,06:30:00,06:50:00,10
236,"2020-02-16 06:48:18.380525",06:47:43,06:30:00,06:50:00,10
237,"2020-02-16 06:48:36.154450",,,,40
238,"2020-02-16 06:49:24.404421",07:18:16,07:02:00,07:19:00,866
239,"2020-02-16 07:03:58.486384",07:17:52,07:02:00,07:19:00,417
240,"2020-02-16 07:11:07.314707",07:19:27,07:19:00,07:33:00,250
241,"2020-02-16 07:15:25.868727",07:19:53,07:19:00,07:33:00,134
242,"2020-02-16 07:17:49.568922",07:20:15,07:19:00,07:33:00,73
243,"2020-02-16 07:19:12.582383",07:19:54,07:19:00,07:33:00,21
244,"2020-02-16 07:19:45.450562",07:20:39,07:19:00,07:33:00,27
245,"2020-02-16 07:20:23.393561",07:20:21,07:19:00,07:33:00,10
246,"2020-02-16 07:20:40.921188",07:43:09,07:33:00,07:48:00,674
247,"2020-02-16 07:32:04.933045",07:44:43,07:33:00,07:48:00,379
248,"2020-02-16 07:38:32.643961",07:45:30,07:33:00,07:48:00,209
249,"2020-02-16 07:42:10.827714",07:46:19,07:33:00,07:48:00,124
250,"2020-02-16 07:44:24.042812",07:46:22,07:33:00,07:48:00,59
251,"2020-02-16 07:45:31.952750",07:46:44,07:33:00,07:48:00,36
252,"2020-02-16 07:46:20.162969",07:46:39,07:33:00,07:48:00,10
253,"2020-02-16 07:46:38.148350",07:46:39,07:33:00,07:48:00,10
254,"2020-02-16 07:46:55.923922",07:46:40,07:33:00,07:48:00,10
255,"2020-02-16 07:47:13.745691",07:46:40,07:33:00,07:48:00,10
256,"2020-02-16 07:47:31.523215",08:03:38,08:01:00,08:15:00,483
257,"2020-02-16 07:55:45.074694",08:03:17,08:01:00,08:15:00,226
258,"2020-02-16 07:59:42.696540",08:03:19,08:01:00,08:15:00,108
259,"2020-02-16 08:01:40.637783",08:05:17,08:01:00,08:15:00,108
260,"2020-02-16 08:03:38.605751",08:05:45,08:01:00,08:15:00,63
